start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6CLOUDLANDGA_361633,6YOUNG GA_361454,34.81849122,-85.5353055,34.75072952,-85.27349349,27.897,230,35939130.49763468,38492877.65409349,2553747.156458811,7.106
6ROCK SPG GA_361500,6YOUNG GA_361454,34.83897801,-85.28020801,34.75072952,-85.27349349,10.661,230,12728584.828059405,14001443.563808072,1272858.7357486682,10.0
6WID CRK FP_360068,6YOUNG GA_361454,34.88515896,-85.75604163,34.75072952,-85.27349349,61.047,230,77171201.65887958,81176196.53752029,4004994.8786407136,5.19
6WRINGOLD GA_361504,6YOUNG GA_361454,34.89324284,-85.13750475,34.75072952,-85.27349349,63.777,230,78318264.95403785,84439940.87117518,6121675.9171373425,7.816
6BATTLFLD GA_361530,6YOUNG GA_361454,34.9555953,-85.26465286,34.75072952,-85.27349349,66.056,230,86632200.48229823,96484665.74779779,9852465.26549957,11.373
6S HAVEN CC_360594,6YOUNG GA_361454,34.99627529,-90.0485284,34.75072952,-85.27349349,519.271,230,616887067.7062453,788790435.455044,171903367.7487988,27.866
6CONCORD TN_361509,6YOUNG GA_361454,34.99679719,-85.1610968,34.75072952,-85.27349349,85.489,230,105630466.07762961,115334737.86778289,9704271.790153278,9.187
6CENTER PNT_360533,6ROCK SPG GA_361500,34.6665318,-84.97089121,34.83897801,-85.28020801,95.356,230,121120943.92475398,134784326.61496308,13663382.690209093,11.281
6LOOPERS FRM_360602,6ROCK SPG GA_361500,34.708916,-84.922795,34.83897801,-85.28020801,102.107,230,130156361.3069922,144729608.19553187,14573246.888539677,11.197
6COUNTY LINE_360013,6ROCK SPG GA_361500,34.74311084,-85.00751569,34.83897801,-85.28020801,64.846,230,81541895.675506,89241592.67544132,7699696.999935328,9.443
6KENSNGTN GA_361503,6ROCK SPG GA_361500,34.81265905,-85.32344844,34.83897801,-85.28020801,6.115,230,7720996.85919515,8323334.722564662,602337.8633695119,7.801
6ALPHA GA_361502,6ROCK SPG GA_361500,34.813027,-84.853226,34.83897801,-85.28020801,113.784,230,138557422.93989474,153238392.6572038,14680969.717309043,10.596
6CLOUDLANDGA_361633,6ROCK SPG GA_361500,34.81849122,-85.5353055,34.83897801,-85.28020801,32.231,230,40481017.54117789,42160811.54316446,1679794.001986572,4.15
6BATTLFLD GA_361530,6ROCK SPG GA_361500,34.9555953,-85.26465286,34.83897801,-85.28020801,70.39,230,91174087.52584143,100191065.09785908,9016977.572017647,9.89
6CONCORD TN_361509,6ROCK SPG GA_361500,34.99679719,-85.1610968,34.83897801,-85.28020801,94.865,230,116822481.20608291,127659186.58282802,10836705.376745112,9.276
6CENTER PNT_360533,6CLOUDLANDGA_361633,34.6665318,-84.97089121,34.81849122,-85.5353055,108.689,230,139611868.49773327,154073964.54132736,14462096.043594088,10.359
6ALPHA GA_361502,6CLOUDLANDGA_361633,34.813027,-84.853226,34.81849122,-85.5353055,127.118,230,157048347.51287404,172522723.572252,15474376.059377976,9.853
6BATTLFLD GA_361530,6CLOUDLANDGA_361633,34.9555953,-85.26465286,34.81849122,-85.5353055,40.046,230,53391034.48107455,59705655.328752995,6314620.847678449,11.827
6CENTER PNT_360533,6CONCORD TN_361509,34.6665318,-84.97089121,34.99679719,-85.1610968,80.377,230,98680129.76076284,111289716.54878674,12609586.788023908,12.778
6ALPHA GA_361502,6CONCORD TN_361509,34.813027,-84.853226,34.99679719,-85.1610968,53.084,230,65130952.496869326,74417140.55767252,9286188.060803186,14.258
6CLOUDLANDGA_361633,6CONCORD TN_361509,34.81849122,-85.5353055,34.99679719,-85.1610968,108.198,230,135313405.7790622,146958717.82433566,11645312.045273457,8.606
6BATTLFLD GA_361530,6CONCORD TN_361509,34.9555953,-85.26465286,34.99679719,-85.1610968,146.358,230,186006475.76372576,204922487.15253738,18916011.38881161,10.17
6CENTER PNT_360533,6LOOPERS FRM_360602,34.6665318,-84.97089121,34.708916,-84.922795,9.104,230,12361159.351459209,13597275.641315829,1236116.289856621,10.0
6COUNTY LINE_360013,6LOOPERS FRM_360602,34.74311084,-85.00751569,34.708916,-84.922795,82.299,230,100325250.97961704,112620088.77913696,12294837.799519908,12.255
6KENSNGTN GA_361503,6LOOPERS FRM_360602,34.81265905,-85.32344844,34.708916,-84.922795,98.354,230,126317588.19851774,139986782.42146516,13669194.222947413,10.821
6ALPHA GA_361502,6LOOPERS FRM_360602,34.813027,-84.853226,34.708916,-84.922795,20.387,230,24584016.158693902,27042418.444071557,2458402.285377654,10.0
6CLOUDLANDGA_361633,6LOOPERS FRM_360602,34.81849122,-85.5353055,34.708916,-84.922795,115.441,230,148647285.8799715,164014695.48927262,15367409.609301124,10.338
6BATTLFLD GA_361530,6LOOPERS FRM_360602,34.9555953,-85.26465286,34.708916,-84.922795,153.6,230,199340355.86463505,222028326.90473673,22687971.040101685,11.382
6CONCORD TN_361509,6LOOPERS FRM_360602,34.99679719,-85.1610968,34.708916,-84.922795,72.589,230,88615737.60153496,100232964.58054838,11617226.979013415,13.11
6ALPHA GA_361502,6BATTLFLD GA_361530,34.813027,-84.853226,34.9555953,-85.26465286,146.512,230,200865249.65331694,220633672.71193752,19768423.05862057,9.842
6CENTER PNT_360533,6S HAVEN CC_360594,34.6665318,-84.97089121,34.99627529,-90.0485284,578.085,230,688095777.2618825,870098545.2727112,182002768.01082858,26.45
6LOOPERS FRM_360602,6S HAVEN CC_360594,34.708916,-84.922795,34.99627529,-90.0485284,584.836,230,697131194.6441207,880162510.58614,183031315.94201937,26.255
6COUNTY LINE_360013,6S HAVEN CC_360594,34.74311084,-85.00751569,34.99627529,-90.0485284,553.116,230,659632308.8546627,833969510.0070064,174337201.15234375,26.429
6KENSNGTN GA_361503,6S HAVEN CC_360594,34.81265905,-85.32344844,34.99627529,-90.0485284,519.62,230,617148612.1762794,788732621.1238159,171584008.94753647,27.803
6ALPHA GA_361502,6S HAVEN CC_360594,34.813027,-84.853226,34.99627529,-90.0485284,603.907,230,719437829.9263601,904857460.2028165,185419630.27645642,25.773
6CLOUDLANDGA_361633,6S HAVEN CC_360594,34.81849122,-85.5353055,34.99627529,-90.0485284,499.693,230,592088864.3455495,759646483.7317075,167557619.386158,28.299
6ROCK SPG GA_361500,6S HAVEN CC_360594,34.83897801,-85.28020801,34.99627529,-90.0485284,523.509,230,621530613.576247,793649160.4863241,172118546.91007707,27.693
6BATTLFLD GA_361530,6S HAVEN CC_360594,34.9555953,-85.26465286,34.99627529,-90.0485284,511.785,230,610595521.7539045,805375877.9951926,194780356.24128816,31.9
6CONCORD TN_361509,6S HAVEN CC_360594,34.99679719,-85.1610968,34.99627529,-90.0485284,583.134,230,694912894.3852396,872081111.3760667,177168216.99082702,25.495
6CENTER PNT_360533,7SHAWNEE FP_360002,34.6665318,-84.97089121,37.150267,-88.778122,570.42,345,1095355640.9955368,1318276236.8631825,222920595.8676457,20.351
6LOOPERS FRM_360602,7SHAWNEE FP_360002,34.708916,-84.922795,37.150267,-88.778122,577.171,345,1109817437.8273346,1334160660.9816453,224343223.15431076,20.214
6COUNTY LINE_360013,7SHAWNEE FP_360002,34.74311084,-85.00751569,37.150267,-88.778122,541.161,345,1039274338.9466575,1248085487.9491293,208811149.00247175,20.092
