fid,start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,voltage,polarity,start_option,end_option,rid
57,6BATTLFLD GA_361530,6CENTER PNT_360533,34.9555953,-85.26465286,34.6665318,-84.97089121,230,ac,default,default,6BATTLFLD_GA_361530-6CENTER_PNT_360533
58,6BATTLFLD GA_361530,6CLOUDLANDGA_361633,34.9555953,-85.26465286,34.81849122,-85.5353055,230,ac,default,default,6BATTLFLD_GA_361530-6CLOUDLANDGA_361633
59,6BATTLFLD GA_361530,6CONCORD TN_361509,34.9555953,-85.26465286,34.99679719,-85.1610968,230,ac,default,default,6BATTLFLD_GA_361530-6CONCORD_TN_361509
60,6BATTLFLD GA_361530,6COUNTY LINE_360013,34.9555953,-85.26465286,34.74311084,-85.00751569,230,ac,default,default,6BATTLFLD_GA_361530-6COUNTY_LINE_360013
61,6BATTLFLD GA_361530,6KENSNGTN GA_361503,34.9555953,-85.26465286,34.81265905,-85.32344844,230,ac,default,default,6BATTLFLD_GA_361530-6KENSNGTN_GA_361503
62,6BATTLFLD GA_361530,6LOOPERS FRM_360602,34.9555953,-85.26465286,34.708916,-84.922795,230,ac,default,default,6BATTLFLD_GA_361530-6LOOPERS_FRM_360602
63,6BATTLFLD GA_361530,6ROCK SPG GA_361500,34.9555953,-85.26465286,34.83897801,-85.28020801,230,ac,default,default,6BATTLFLD_GA_361530-6ROCK_SPG_GA_361500
64,6BATTLFLD GA_361530,6S HAVEN CC_360594,34.9555953,-85.26465286,34.99627529,-90.0485284,230,ac,default,default,6BATTLFLD_GA_361530-6S_HAVEN_CC_360594
65,6BATTLFLD GA_361530,6WID CRK FP_360068,34.9555953,-85.26465286,34.88515896,-85.75604163,230,ac,default,default,6BATTLFLD_GA_361530-6WID_CRK_FP_360068
66,6BATTLFLD GA_361530,6WRINGOLD GA_361504,34.9555953,-85.26465286,34.89324284,-85.13750475,230,ac,default,default,6BATTLFLD_GA_361530-6WRINGOLD_GA_361504
67,6BATTLFLD GA_361530,6YOUNG GA_361454,34.9555953,-85.26465286,34.75072952,-85.27349349,230,ac,default,default,6BATTLFLD_GA_361530-6YOUNG_GA_361454
68,6BATTLFLD GA_361530,7SHAWNEE FP_360002,34.9555953,-85.26465286,37.150267,-88.778122,345,ac,default,default,6BATTLFLD_GA_361530-7SHAWNEE_FP_360002
69,6BATTLFLD GA_361530,8ACKERMAN CC_360627,34.9555953,-85.26465286,33.38593855,-89.20997726,500,ac,default,default,6BATTLFLD_GA_361530-8ACKERMAN_CC_360627
70,6BATTLFLD GA_361530,8ANDERSON TN_360120,34.9555953,-85.26465286,35.94503289,-84.38856432,500,ac,default,default,6BATTLFLD_GA_361530-8ANDERSON_TN_360120
71,6BATTLFLD GA_361530,8BENTON MS_360612,34.9555953,-85.26465286,35.17466126,-89.74553609,500,ac,default,default,6BATTLFLD_GA_361530-8BENTON_MS_360612
72,6BATTLFLD GA_361530,8BHAM STEEL_360075,34.9555953,-85.26465286,34.99627529,-90.0485284,500,ac,default,default,6BATTLFLD_GA_361530-8BHAM_STEEL_360075
73,6BATTLFLD GA_361530,8BR FERRY NP_360052,34.9555953,-85.26465286,34.70520875,-87.11705751,500,ac,default,default,6BATTLFLD_GA_361530-8BR_FERRY_NP_360052
74,6BATTLFLD GA_361530,8BRADLEY TN_360662,34.9555953,-85.26465286,35.0367008,-84.963798,500,ac,default,default,6BATTLFLD_GA_361530-8BRADLEY_TN_360662
75,6BATTLFLD GA_361530,8BULL RUN FP_360093,34.9555953,-85.26465286,36.01895969,-84.15785445,500,ac,default,default,6BATTLFLD_GA_361530-8BULL_RUN_FP_360093
76,6BATTLFLD GA_361530,8CHOCTAW MS_360654,34.9555953,-85.26465286,33.2984397,-89.4127739,500,ac,default,default,6BATTLFLD_GA_361530-8CHOCTAW_MS_360654
77,6BATTLFLD GA_361530,8CLAY_360688,34.9555953,-85.26465286,33.47863869,-88.74043971,500,ac,default,default,6BATTLFLD_GA_361530-8CLAY_360688
78,6BATTLFLD GA_361530,8COGEN CALED_360606,34.9555953,-85.26465286,33.64779158,-88.31593565,500,ac,default,default,6BATTLFLD_GA_361530-8COGEN_CALED_360606
79,6BATTLFLD GA_361530,8CUMBERLAND_360040,34.9555953,-85.26465286,36.3921331,-87.65747953,500,ac,default,default,6BATTLFLD_GA_361530-8CUMBERLAND_360040
80,6BATTLFLD GA_361530,8DAVIDSON TN_360048,34.9555953,-85.26465286,36.06703747,-86.9841046,500,ac,default,default,6BATTLFLD_GA_361530-8DAVIDSON_TN_360048
81,6BATTLFLD GA_361530,8E POINT AL_360058,34.9555953,-85.26465286,34.19181783,-86.74805975,500,ac,default,default,6BATTLFLD_GA_361530-8E_POINT_AL_360058
82,6BATTLFLD GA_361530,8FRANKLIN TN_360069,34.9555953,-85.26465286,35.33506701,-86.11727644,500,ac,default,default,6BATTLFLD_GA_361530-8FRANKLIN_TN_360069
83,6BATTLFLD GA_361530,8GLEASON CT_360582,34.9555953,-85.26465286,36.24522988,-88.6114255,500,ac,default,default,6BATTLFLD_GA_361530-8GLEASON_CT_360582
84,6BATTLFLD GA_361530,8HAYWOOD TN_360542,34.9555953,-85.26465286,35.54308246,-89.19654872,500,ac,default,default,6BATTLFLD_GA_361530-8HAYWOOD_TN_360542
85,6BATTLFLD GA_361530,8HIWASSEE TN_360110,34.9555953,-85.26465286,35.60032498,-84.78911434,500,ac,default,default,6BATTLFLD_GA_361530-8HIWASSEE_TN_360110
86,6BATTLFLD GA_361530,8JACKSON TN_360019,34.9555953,-85.26465286,35.70901203,-88.79407261,500,ac,default,default,6BATTLFLD_GA_361530-8JACKSON_TN_360019
87,6BATTLFLD GA_361530,8JVILLE FP_360037,34.9555953,-85.26465286,36.02382902,-87.98154082,500,ac,default,default,6BATTLFLD_GA_361530-8JVILLE_FP_360037
88,6BATTLFLD GA_361530,8LAG CRK CC_360615,34.9555953,-85.26465286,35.65702785,-89.39460044,500,ac,default,default,6BATTLFLD_GA_361530-8LAG_CRK_CC_360615
89,6BATTLFLD GA_361530,8LAG CRK CT_360568,34.9555953,-85.26465286,36.27534882,-88.83423675,500,ac,default,default,6BATTLFLD_GA_361530-8LAG_CRK_CT_360568
90,6BATTLFLD GA_361530,8LIMESTONE_360088,34.9555953,-85.26465286,34.71890958,-86.84630969,500,ac,default,default,6BATTLFLD_GA_361530-8LIMESTONE_360088
91,6BATTLFLD GA_361530,8MADISON AL_360060,34.9555953,-85.26465286,34.79577878,-86.52158584,500,ac,default,default,6BATTLFLD_GA_361530-8MADISON_AL_360060
92,6BATTLFLD GA_361530,8MAGNOL CC1_360613,34.9555953,-85.26465286,34.8287922,-89.20041124,500,ac,default,default,6BATTLFLD_GA_361530-8MAGNOL_CC1_360613
93,6BATTLFLD GA_361530,8MARSHALL KY_360015,34.9555953,-85.26465286,37.02455006,-88.39384277,500,ac,default,default,6BATTLFLD_GA_361530-8MARSHALL_KY_360015
94,6BATTLFLD GA_361530,8MAURY TN_360050,34.9555953,-85.26465286,35.672863,-87.01861625,500,ac,default,default,6BATTLFLD_GA_361530-8MAURY_TN_360050
