start_BusName,end_BusName,length_km,voltage,cost,rid,n_cells,cells_outside_region,orig_cost_sum,adj_cost_sum,pct_increase,frac_none,frac_low,frac_medium,frac_high,added_cost,added_cost_pipeline_basis,adj_cost_pipeline_basis
8ACKERMAN CC_360627,8LIMESTONE_360088,303.7417399834491,500,739181290.0919564,8ACKERMAN_CC_360627-8LIMESTONE_360088,2685,0,588286289.9375,724807937.875,23.206668296146105,0.278584729981378,0.17467411545623837,0.3001862197392924,0.24655493482309124,136521647.9375,171539350.09881383,910720640.1907701
8CLAY_360688,8LIMESTONE_360088,266.00687640158174,500,645063249.0464162,8CLAY_360688-8LIMESTONE_360088,2402,0,524071109.84375,629460594.03125,20.10976797002253,0.31140716069941715,0.2031640299750208,0.31140716069941715,0.1740216486261449,105389484.1875,129720722.64312287,774783971.6895391
8COGEN CALED_360606,8LIMESTONE_360088,226.94275308376132,500,546889640.3066443,8COGEN_CALED_360606-8LIMESTONE_360088,2115,0,458817167.984375,530811685.453125,15.691330336444986,0.46761229314420805,0.13995271867612294,0.26430260047281323,0.12813238770685578,71994517.46875,85814260.03631134,632703900.3429557
8E POINT AL_360058,8LIMESTONE_360088,171.55664925060148,500,425011244.0693131,8E_POINT_AL_360058-8LIMESTONE_360088,1657,0,369718534.25,379660632.265625,2.689099164528841,0.7724803862401931,0.2051901025950513,0.022329511164755584,0.0,9942098.015625,11428973.81342153,436440217.88273466
6CENTER PNT_360533,8LIMESTONE_360088,247.14423361185519,500,619025985.9467032,6CENTER_PNT_360533-8LIMESTONE_360088,2361,0,532205316.59375,590973672.25,11.042421754142273,0.4608216857263871,0.29013130029648454,0.22066920796272765,0.028377806014400677,58768355.65625,68355460.13597244,687381446.0826757
8BR FERRY NP_360052,8LIMESTONE_360088,26.97770778110976,500,65816537.995169066,8BR_FERRY_NP_360052-8LIMESTONE_360088,273,0,59888183.078125,59888183.078125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,65816537.995169066
6LOOPERS FRM_360602,8LIMESTONE_360088,253.89533100964903,500,637165809.4004359,6LOOPERS_FRM_360602-8LIMESTONE_360088,2424,0,547443091.515625,607234609.640625,10.921960483502314,0.4645214521452145,0.2891914191419142,0.21864686468646866,0.02764026402640264,59791518.125,69590997.91710328,706756807.3175392
6COUNTY LINE_360013,8LIMESTONE_360088,220.38910375663315,500,555183679.316241,6COUNTY_LINE_360013-8LIMESTONE_360088,2101,0,475762935.671875,515473130.921875,8.346634904192584,0.5111851499286054,0.3222275107091861,0.16658733936220846,0.0,39710195.25,46339154.76019,601522834.076431
6YOUNG GA_361454,8LIMESTONE_360088,186.49199338607164,500,468304941.60196245,6YOUNG_GA_361454-8LIMESTONE_360088,1772,0,400248354.890625,433653728.75,8.346161439814948,0.6162528216704289,0.1986455981941309,0.15406320541760724,0.031038374717832957,33405373.859375,39085486.4567309,507390428.05869335
6KENSNGTN GA_361503,8LIMESTONE_360088,186.6911816952753,500,468833622.63304424,6KENSNGTN_GA_361503-8LIMESTONE_360088,1768,0,399268802.65625,430743741.28125,7.88314499294811,0.623868778280543,0.20927601809954752,0.13574660633484162,0.031108597285067874,31474938.625,36958834.24785407,505792456.8808983
6ALPHA GA_361502,8LIMESTONE_360088,272.96583099689457,500,683260603.1258719,6ALPHA_GA_361502-8LIMESTONE_360088,2604,0,586676104.4375,651367207.109375,11.026715112915708,0.43202764976958524,0.3314132104454685,0.2108294930875576,0.02572964669738863,64691102.671875,75341200.18547954,758601803.3113514
6CLOUDLANDGA_361633,8LIMESTONE_360088,160.5940973212671,500,402238302.72525245,6CLOUDLANDGA_361633-8LIMESTONE_360088,1582,0,356875877.234375,380218467.9375,6.5408149421640305,0.6270543615676359,0.24083438685208597,0.13211125158027812,0.0,23342590.703125,26309663.0077603,428547965.73301274
6ROCK SPG GA_361500,8LIMESTONE_360088,190.7294868869333,500,478046438.8399286,6ROCK_SPG_GA_361500-8LIMESTONE_360088,1805,0,406830736.984375,440094447.796875,8.176302277223835,0.6055401662049862,0.22105263157894736,0.14293628808864267,0.030470914127423823,33263710.8125,39086521.86505653,517132960.70498514
6WID CRK FP_360068,8LIMESTONE_360088,135.29925317304247,500,338907630.52708113,6WID_CRK_FP_360068-8LIMESTONE_360088,1320,0,297966765.0,312572741.96875,4.901881244624717,0.7424242424242424,0.14924242424242423,0.10833333333333334,0.0,14605976.96875,16612849.577409022,355520480.10449016
6WRINGOLD GA_361504,8LIMESTONE_360088,228.62058428472707,500,572438589.3674402,6WRINGOLD_GA_361504-8LIMESTONE_360088,2214,0,498472254.625,536765595.8125,7.68214094810713,0.518970189701897,0.34191508581752483,0.13911472448057813,0.0,38293341.1875,43975539.27656296,616414128.6440032
6BATTLFLD GA_361530,8LIMESTONE_360088,177.83481158876072,500,456697329.4990727,6BATTLFLD_GA_361530-8LIMESTONE_360088,1728,0,399746347.40625,436012606.375,9.072317784530926,0.46296296296296297,0.3917824074074074,0.11400462962962964,0.03125,36266258.96875,41433033.04562217,498130362.54469484
