start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6CLOUDLANDGA_361633,6WRINGOLD GA_361504,34.81849122,-85.5353055,34.89324284,-85.13750475,86.486,230,108001204.65547043,120151216.38083836,12150011.725367935,11.25
6ROCK SPG GA_361500,6WRINGOLD GA_361504,34.83897801,-85.28020801,34.89324284,-85.13750475,73.152,230,89510280.08249113,99672916.93976428,10162636.857273145,11.354
6WID CRK FP_360068,6WRINGOLD GA_361504,34.88515896,-85.75604163,34.89324284,-85.13750475,115.387,230,140551015.79849434,154295575.48766702,13744559.68917267,9.779
6BATTLFLD GA_361530,6WRINGOLD GA_361504,34.9555953,-85.26465286,34.89324284,-85.13750475,124.645,230,158694274.64013398,178714180.12955362,20019905.489419635,12.615
6S HAVEN CC_360594,6WRINGOLD GA_361504,34.99627529,-90.0485284,34.89324284,-85.13750475,561.422,230,667600693.2616478,835352360.870486,167751667.6088382,25.128
6CONCORD TN_361509,6WRINGOLD GA_361504,34.99679719,-85.1610968,34.89324284,-85.13750475,27.209,230,34015709.24298006,37629972.066492595,3614262.823512529,10.625
6ALPHA GA_361502,6CENTER PNT_360533,34.813027,-84.853226,34.6665318,-84.97089121,28.174,230,34648408.31792179,38386868.70197295,3738460.3840511614,10.79
6BATTLFLD GA_361530,6CENTER PNT_360533,34.9555953,-85.26465286,34.6665318,-84.97089121,146.849,230,190304938.48239684,223490142.41071278,33185203.92831595,17.438
6CENTER PNT_360533,6KENSNGTN GA_361503,34.6665318,-84.97089121,34.81265905,-85.32344844,91.603,230,117282170.81627953,140120559.87121877,22838389.05493924,19.473
6COUNTY LINE_360013,6KENSNGTN GA_361503,34.74311084,-85.00751569,34.81265905,-85.32344844,61.093,230,77703122.56703153,88873924.22086428,11170801.653832752,14.376
6ALPHA GA_361502,6KENSNGTN GA_361503,34.813027,-84.853226,34.81265905,-85.32344844,110.032,230,134718649.8314203,155680807.306046,20962157.4746257,15.56
6CLOUDLANDGA_361633,6KENSNGTN GA_361503,34.81849122,-85.5353055,34.81265905,-85.32344844,28.192,230,36072236.57035432,38282082.73426091,2209846.163906587,6.126
6BATTLFLD GA_361530,6KENSNGTN GA_361503,34.9555953,-85.26465286,34.81265905,-85.32344844,66.352,230,86765306.55501786,96911141.6372686,10145835.082250748,11.693
6CONCORD TN_361509,6KENSNGTN GA_361503,34.99679719,-85.1610968,34.81265905,-85.32344844,91.112,230,112983708.09760846,127591534.83997595,14607826.742367491,12.929
6CENTER PNT_360533,6YOUNG GA_361454,34.6665318,-84.97089121,34.75072952,-85.27349349,85.98,230,109928928.7963007,130089688.74659973,20160759.950299036,18.34
6LOOPERS FRM_360602,6YOUNG GA_361454,34.708916,-84.922795,34.75072952,-85.27349349,92.731,230,118964346.17853892,139773386.15416938,20809039.975630473,17.492
6COUNTY LINE_360013,6YOUNG GA_361454,34.74311084,-85.00751569,34.75072952,-85.27349349,55.471,230,70349880.5470527,78674224.7906533,8324344.2436006125,11.833
6KENSNGTN GA_361503,6YOUNG GA_361454,34.81265905,-85.32344844,34.75072952,-85.27349349,8.921,230,10776981.49344478,11974936.205575973,1197954.7121311924,11.116
6ALPHA GA_361502,6YOUNG GA_361454,34.813027,-84.853226,34.75072952,-85.27349349,104.409,230,127365407.81144145,145577934.61827564,18212526.806834184,14.299
6CLOUDLANDGA_361633,6YOUNG GA_361454,34.81849122,-85.5353055,34.75072952,-85.27349349,27.897,230,35939130.49763468,40781200.30762445,4842069.809989773,13.473
6ROCK SPG GA_361500,6YOUNG GA_361454,34.83897801,-85.28020801,34.75072952,-85.27349349,10.661,230,12728584.828059405,15588194.637924388,2859609.8098649834,22.466
6WID CRK FP_360068,6YOUNG GA_361454,34.88515896,-85.75604163,34.75072952,-85.27349349,61.047,230,77171201.65887958,85540979.90978934,8369778.250909755,10.846
6WRINGOLD GA_361504,6YOUNG GA_361454,34.89324284,-85.13750475,34.75072952,-85.27349349,63.777,230,78318264.95403785,85344097.0945228,7025832.140484954,8.971
6BATTLFLD GA_361530,6YOUNG GA_361454,34.9555953,-85.26465286,34.75072952,-85.27349349,66.056,230,86632200.48229823,99417316.7431715,12785116.260873275,14.758
6S HAVEN CC_360594,6YOUNG GA_361454,34.99627529,-90.0485284,34.75072952,-85.27349349,519.271,230,616887067.7062453,782603831.6729258,165716763.9666805,26.863
6CONCORD TN_361509,6YOUNG GA_361454,34.99679719,-85.1610968,34.75072952,-85.27349349,85.489,230,105630466.07762961,117460137.80015524,11829671.72252563,11.199
6CENTER PNT_360533,6ROCK SPG GA_361500,34.6665318,-84.97089121,34.83897801,-85.28020801,95.356,230,121120943.92475398,144328763.07700256,23207819.152248576,19.161
6LOOPERS FRM_360602,6ROCK SPG GA_361500,34.708916,-84.922795,34.83897801,-85.28020801,102.107,230,130156361.3069922,154032314.25834906,23875952.951356873,18.344
