start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6LOOPERS FRM_360602,8DAVIDSON TN_360048,34.708916,-84.922795,36.06703747,-86.9841046,322.479,500,806157974.243211,823967676.6321424,17809702.38893145,2.209
6COUNTY LINE_360013,8DAVIDSON TN_360048,34.74311084,-85.00751569,36.06703747,-86.9841046,300.886,500,760646029.3622322,782889542.324014,22243512.961781744,2.924
6YOUNG GA_361454,8DAVIDSON TN_360048,34.75072952,-85.27349349,36.06703747,-86.9841046,258.46,500,657052837.8623157,679159013.3510737,22106175.488758065,3.364
6KENSNGTN GA_361503,8DAVIDSON TN_360048,34.81265905,-85.32344844,36.06703747,-86.9841046,258.756,500,657427068.1035221,679608146.1556463,22181078.052124277,3.374
6ALPHA GA_361502,8DAVIDSON TN_360048,34.813027,-84.853226,36.06703747,-86.9841046,302.974,500,757941061.2837288,775703306.2994863,17762245.0157574,2.343
6CLOUDLANDGA_361633,8DAVIDSON TN_360048,34.81849122,-85.5353055,36.06703747,-86.9841046,232.45,500,589677101.6287861,608524577.276525,18847475.64773896,3.196
6ROCK SPG GA_361500,8DAVIDSON TN_360048,34.83897801,-85.28020801,36.06703747,-86.9841046,262.794,500,666684271.3405297,688871404.3200686,22187132.979538914,3.328
6WID CRK FP_360068,8DAVIDSON TN_360048,34.88515896,-85.75604163,36.06703747,-86.9841046,198.765,500,502197190.16748047,524605563.67636335,22408373.50888289,4.462
6WRINGOLD GA_361504,8DAVIDSON TN_360048,34.89324284,-85.13750475,36.06703747,-86.9841046,301.521,500,753898944.1609515,772041829.1021122,18142884.941160653,2.407
6BATTLFLD GA_361530,8DAVIDSON TN_360048,34.9555953,-85.26465286,36.06703747,-86.9841046,236.487,500,600823711.2178811,620398923.7066998,19575212.488818727,3.258
6S HAVEN CC_360594,8DAVIDSON TN_360048,34.99627529,-90.0485284,36.06703747,-86.9841046,350.142,500,860320514.7134149,1106247638.6415186,245927123.92810363,28.586
6CONCORD TN_361509,8DAVIDSON TN_360048,34.99679719,-85.1610968,36.06703747,-86.9841046,308.477,500,772702142.8665819,790843168.7941121,18141025.927530184,2.348
8BRADLEY TN_360662,8DAVIDSON TN_360048,35.0367008,-84.963798,36.06703747,-86.9841046,271.44,500,679597254.8328873,697201628.4441123,17604373.611225028,2.59
8BENTON MS_360612,8DAVIDSON TN_360048,35.17466126,-89.74553609,36.06703747,-86.9841046,295.774,500,721541769.9293933,912453755.2898684,190911985.36047512,26.459
8ANDERSON TN_360120,8DAVIDSON TN_360048,35.94503289,-84.38856432,36.06703747,-86.9841046,291.519,500,736341736.1856409,754577582.5663723,18235846.380731344,2.477
