start_BusName,end_BusName,length_km,voltage,cost,rid,n_cells,cells_outside_region,orig_cost_sum,adj_cost_sum,pct_increase,frac_none,frac_low,frac_medium,frac_high,added_cost,added_cost_pipeline_basis,adj_cost_pipeline_basis
6YOUNG GA_361454,8CHOCTAW MS_360654,454.7697983353951,500,1110693164.0534964,6YOUNG_GA_361454-8CHOCTAW_MS_360654,4139,0,910267348.796875,992842007.21875,9.07147318104029,0.5259724571152452,0.3073206088427156,0.11524522831601836,0.051461705726020775,82574658.421875,100756232.50076075,1211449396.5542572
6KENSNGTN GA_361503,8CHOCTAW MS_360654,454.9689866445989,500,1111221845.084578,6KENSNGTN_GA_361503-8CHOCTAW_MS_360654,4135,0,909287796.5625,991862454.984375,9.081245644563008,0.5255139056831922,0.30761789600967354,0.11535671100362757,0.05151148730350665,82574658.421875,100912785.40817595,1212134630.492754
6ALPHA GA_361502,8CHOCTAW MS_360654,524.0062918617657,500,1285348505.0985806,6ALPHA_GA_361502-8CHOCTAW_MS_360654,4958,0,1094665701.0625,1185047963.015625,8.256608557790624,0.5403388463089955,0.28398547801532875,0.16438079870915692,0.011294876966518758,90382261.953125,106126194.66940327,1391474699.767984
6CLOUDLANDGA_361633,8CHOCTAW MS_360654,435.24399964287545,500,1060356775.9841968,6CLOUDLANDGA_361633-8CHOCTAW_MS_360654,3944,0,864962116.40625,946297623.71875,9.403360652421778,0.5164807302231237,0.30856997971602435,0.12094320486815416,0.05400608519269777,81335507.3125,99709171.84818609,1160065947.832383
6ROCK SPG GA_361500,8CHOCTAW MS_360654,459.00729183625674,500,1120434661.2914624,6ROCK_SPG_GA_361500-8CHOCTAW_MS_360654,4172,0,916849730.890625,999424389.3125,9.006345929955417,0.5297219558964525,0.30488974113135187,0.11433365292425696,0.05105465004793864,82574658.421875,100910221.5150334,1221344882.806496
6WID CRK FP_360068,8CHOCTAW MS_360654,412.15127886348904,500,999790658.3763667,6WID_CRK_FP_360068-8CHOCTAW_MS_360654,3687,0,804949423.84375,885555686.90625,10.013829524542484,0.4917276918904258,0.32112828858150255,0.12937347436940602,0.05777054515866558,80606263.0625,100117332.1321103,1099907990.508477
6WRINGOLD GA_361504,8CHOCTAW MS_360654,496.8983892340505,500,1214826811.8189738,6WRINGOLD_GA_361504-8CHOCTAW_MS_360654,4581,0,1008491248.53125,1089826755.84375,8.065068232466643,0.5837153459943244,0.26566251910063304,0.10412573673870335,0.04649639816633923,81335507.3125,97976611.27949938,1312803423.098473
6BATTLFLD GA_361530,8CHOCTAW MS_360654,466.5893177817923,500,1141409400.3936005,6BATTLFLD_GA_361530-8CHOCTAW_MS_360654,4185,0,921875304.578125,1003152077.84375,8.81646062780903,0.5455197132616487,0.2896057347670251,0.11397849462365592,0.05089605734767025,81276773.265625,100631910.38781291,1242041310.7814133
6S HAVEN CC_360594,8CHOCTAW MS_360654,219.99712324129368,500,541255369.1243911,6S_HAVEN_CC_360594-8CHOCTAW_MS_360654,2107,0,467338955.328125,608351358.765625,30.173475125456495,0.0,0.2591362126245847,0.48599905078310396,0.25486473659231135,141012403.4375,163315554.1679459,704570923.292337
6CONCORD TN_361509,8CHOCTAW MS_360654,518.6854281778626,500,1270397860.925077,6CONCORD_TN_361509-8CHOCTAW_MS_360654,4780,0,1054242269.34375,1135577776.65625,7.715067938143871,0.6010460251046025,0.25460251046025106,0.0997907949790795,0.044560669456066945,81335507.3125,98012058.0550962,1368409918.980173
8BRADLEY TN_360662,8CHOCTAW MS_360654,524.6739476497689,500,1282946303.8685184,8BRADLEY_TN_360662-8CHOCTAW_MS_360654,4825,0,1062269670.109375,1143955451.515625,7.689740534325851,0.6014507772020725,0.2555440414507772,0.098860103626943,0.04414507772020725,81685781.40625,98655241.96221276,1381601545.8307312
8BENTON MS_360612,8CHOCTAW MS_360654,245.37958431023594,500,605010858.3522846,8BENTON_MS_360612-8CHOCTAW_MS_360654,2464,0,546296051.140625,689610043.859375,26.233759592353124,0.0,0.4630681818181818,0.26663961038961037,0.2702922077922078,143313992.71875,158717094.08777043,763727952.440055
8ANDERSON TN_360120,8CHOCTAW MS_360654,598.8887072454229,500,1463466550.8721447,8ANDERSON_TN_360120-8CHOCTAW_MS_360654,5288,0,1162813143.3125,1274710747.734375,9.623008224959761,0.39655824508320725,0.4606656580937973,0.10249621785173979,0.04027987897125567,111897604.421875,140829506.5599614,1604296057.432106
8BULL RUN FP_360093,8CHOCTAW MS_360654,686.919414950006,500,1693758121.2820134,8BULL_RUN_FP_360093-8CHOCTAW_MS_360654,6047,0,1342788325.609375,1452401332.09375,8.163089028542991,0.4966098892012568,0.3760542417727799,0.09211179097072929,0.035224078055234,109613006.484375,138262983.36842793,1832021104.6504414
7SHAWNEE FP_360002,8CHOCTAW MS_360654,477.94086999172464,500,1153955063.915276,7SHAWNEE_FP_360002-8CHOCTAW_MS_360654,4966,0,1079154289.90625,1449748247.65625,34.3411466938796,0.0,0.11518324607329843,0.5412807088199758,0.34353604510672575,370593957.75,396281401.2805971,1550236465.1958733
8CHOCTAW MS_360654,8E POINT AL_360058,306.6015322661115,500,746754039.005126,8CHOCTAW_MS_360654-8E_POINT_AL_360058,2904,0,636149906.6875,720246439.640625,13.219609414237677,0.3550275482093664,0.37086776859504134,0.20798898071625344,0.06611570247933884,84096532.953125,98717967.24152175,845472006.2466477
8ACKERMAN CC_360627,8E POINT AL_360058,284.9960452771427,500,693237831.4928417,8ACKERMAN_CC_360627-8E_POINT_AL_360058,2724,0,595955398.078125,668572603.4375,12.185006729288062,0.37848751835535976,0.39170337738619676,0.1593245227606461,0.07048458149779736,72617205.359375,84471076.4173734,777708907.9102151
8CLAY_360688,8E POINT AL_360058,236.5679089355367,500,575874344.1502419,8CLAY_360688-8E_POINT_AL_360058,2241,0,490879779.765625,540763573.171875,10.162120230347949,0.3949129852744311,0.4109772423025435,0.18518518518518517,0.00892458723784025,49883793.40625,58521043.2282753,634395387.3785172
